Date,Address,lat,lon,Killed,Injured
11/7/14,"East 126th Street and North Compton Avenue, Los Angeles, California",33.9184737,-118.2462168,0,4
11/15/14,"2555 N. Glenstone, Springfield, Missouri",37.2436992,-93.2617917,4,0
11/15/14,"NW 55th and 12th, Miami, Florida",25.8254516,-80.2172875,1,3
11/16/14,"1891 East Market Street, Akron, Ohio",41.0619709,-81.4601247,1,4
11/16/14,"115 S. Durango, El Paso, Texas",31.75711,-106.4934614,0,6
11/18/14,"Englestad Street, North Las Vegas, Nevada",36.210424,-115.1473473,0,4
11/19/14,"700 block of North St. Louis Avenue, Chicago, Illinois",41.8936456,-87.7138038,1,3
11/21/14,"600 block of Miller Avenue, Pittsburgh, Pennsylvania",40.2926,-79.8834047,0,6
11/22/14,"1400 block of East 92nd Street, Cleveland, Ohio",41.518062,-81.623366,4,1
11/22/14,"Fourth Avenue, Sisseton, South Dakota",45.6637619,-97.0457522,4,1
11/22/14,"Clifton Avenue and Rice Street, Springfield, Ohio",39.9095886,-83.8077328,1,3
11/23/14,"Federal Boulevard and 16th Avenue, Denver, Colorado",39.7427422,-105.0252326,1,4
11/26/14,"Mission and 13th streets, San Francisco, California",37.7699578,-122.4201876,0,6
11/27/14,"Pvt Rd 934, Georgetown, Texas",30.6777088,-97.592544,2,3
11/28/14,"1849 East Brooks Road , Memphis, Tennessee",35.0604394,-90.0021468,0,4
11/29/14,"348 S Orange Ave, Newark, New Jersey",40.739819,-74.20003,1,3
11/30/14,"2412 East 13th Street , Chattanooga, Tennessee",35.0246629,-85.2711338,0,5
12/2/14,"6000 block of Virginia Avenue, Saint Louis, Missouri",38.5616394,-90.2492351,1,5
12/2/14,"6128 Jefferson Ave , Newport News, Virginia",37.0232123,-76.4460821,0,5
12/7/14,"16000 block of Roosevelt Road, South Bend, Indiana",41.59062,-86.181481,0,4
12/13/14,"810 E. Skagway Ave., Tampa, Florida",28.0324293,-82.4523937,0,5
12/14/14,"1311 Northwest 2nd Avenue, Miami, Florida",25.7871201,-80.1984668,1,4
12/16/14,"Anna Street, Elizabeth, New Jersey",40.6688088,-74.2043131,0,4
12/20/14,"3200 block of Montrose Avenue, Rockford, Illinois",42.2938571,-89.1071791,4,0
12/21/14,"South Washington Boulevard, Sarasota, Florida",27.3322582,-82.5309807,2,2
12/21/14,"Central Avenue, Waynesboro, Mississippi",31.6784364,-88.6580584,1,4
